v8-version,8,4,371,19,-node.18,0
shared-library,/usr/bin/node,0x400000,0x424f000,0
shared-library,/usr/lib/x86_64-linux-gnu/libc-2.31.so,0x7fabadee3000,0x7fabae080000,0
shared-library,/usr/lib/x86_64-linux-gnu/libpthread-2.31.so,0x7fabae0d7000,0x7fabae0ef000,0
shared-library,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7fabae0fa000,0x7fabae10f000,0
shared-library,/usr/lib/x86_64-linux-gnu/libm-2.31.so,0x7fabae115000,0x7fabae1cb000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28,0x7fabae264000,0x7fabae3ea000,0
shared-library,/usr/lib/x86_64-linux-gnu/libdl-2.31.so,0x7fabae445000,0x7fabae448000,0
shared-library,/usr/lib/libkeepalive.so,0x7fabae469000,0x7fabae46a000,0
shared-library,/usr/lib/x86_64-linux-gnu/ld-2.31.so,0x7fabae66d000,0x7fabae691000,0
shared-library,[vdso],0x7ffdb2099000,0x7ffdb209b000,0
profiler,begin,1000
tick,0x1c6f2d0,616,0,0x0,6
tick,0xf34678,1707,0,0x0,6
code-creation,Builtin,3,1764,0x1393ba0,1632,RecordWrite
code-creation,Builtin,3,1773,0x1394220,424,EphemeronKeyBarrier
code-creation,Builtin,3,1778,0x13943e0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,1782,0x1394420,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,1788,0x1394560,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1793,0x1394640,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1798,0x1394760,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,1804,0x13948a0,127,CallBoundFunction
code-creation,Builtin,3,1808,0x1394920,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1814,0x13949a0,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1819,0x1394a20,109,Call_ReceiverIsAny
code-creation,Builtin,3,1825,0x1394aa0,866,CallProxy
code-creation,Builtin,3,1831,0x1394e20,75,CallVarargs
code-creation,Builtin,3,1836,0x1394e80,1056,CallWithSpread
code-creation,Builtin,3,1842,0x13952c0,926,CallWithArrayLike
code-creation,Builtin,3,1847,0x1395660,100,CallForwardVarargs
code-creation,Builtin,3,1852,0x13956e0,100,CallFunctionForwardVarargs
code-creation,Builtin,3,1858,0x1395760,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,1864,0x1395800,245,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,1872,0x1395900,350,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,1879,0x1395a60,26,ConstructFunction
code-creation,Builtin,3,1885,0x1395a80,127,ConstructBoundFunction
code-creation,Builtin,3,1891,0x1395b00,28,ConstructedNonConstructable
code-creation,Builtin,3,1898,0x1395b20,90,Construct
code-creation,Builtin,3,1904,0x1395b80,75,ConstructVarargs
code-creation,Builtin,3,1910,0x1395be0,1084,ConstructWithSpread
code-creation,Builtin,3,1916,0x1396020,1000,ConstructWithArrayLike
code-creation,Builtin,3,1922,0x1396420,139,ConstructForwardVarargs
code-creation,Builtin,3,1928,0x13964c0,139,ConstructFunctionForwardVarargs
code-creation,Builtin,3,1934,0x1396560,328,JSConstructStubGeneric
code-creation,Builtin,3,1940,0x13966c0,241,JSBuiltinsConstructStub
code-creation,Builtin,3,1946,0x13967c0,735,FastNewObject
code-creation,Builtin,3,1951,0x1396aa0,305,FastNewClosure
code-creation,Builtin,3,1957,0x1396be0,209,FastNewFunctionContextEval
code-creation,Builtin,3,1964,0x1396cc0,209,FastNewFunctionContextFunction
code-creation,Builtin,3,1971,0x1396da0,238,CreateRegExpLiteral
code-creation,Builtin,3,1977,0x1396ea0,554,CreateEmptyArrayLiteral
code-creation,Builtin,3,1983,0x13970e0,1140,CreateShallowArrayLiteral
code-creation,Builtin,3,1989,0x1397560,1856,CreateShallowObjectLiteral
code-creation,Builtin,3,1995,0x1397cc0,854,ConstructProxy
code-creation,Builtin,3,2002,0x1398020,188,JSEntry
code-creation,Builtin,3,2007,0x13980e0,188,JSConstructEntry
code-creation,Builtin,3,2015,0x13981a0,188,JSRunMicrotasksEntry
code-creation,Builtin,3,2020,0x1398260,95,JSEntryTrampoline
code-creation,Builtin,3,2025,0x13982c0,95,JSConstructEntryTrampoline
code-creation,Builtin,3,2030,0x1398320,307,ResumeGeneratorTrampoline
code-creation,Builtin,3,2035,0x1398460,1112,StringCodePointAt
code-creation,Builtin,3,2040,0x13988c0,1615,StringFromCodePointAt
code-creation,Builtin,3,2045,0x1398f20,552,StringEqual
code-creation,Builtin,3,2056,0x1399160,284,StringGreaterThan
code-creation,Builtin,3,2061,0x1399280,284,StringGreaterThanOrEqual
code-creation,Builtin,3,2068,0x13993a0,1077,StringIndexOf
code-creation,Builtin,3,2073,0x13997e0,284,StringLessThan
code-creation,Builtin,3,2079,0x1399900,284,StringLessThanOrEqual
code-creation,Builtin,3,2085,0x1399a20,2627,StringSubstring
code-creation,Builtin,3,2090,0x139a480,92,OrderedHashTableHealIndex
code-creation,Builtin,3,2096,0x139a4e0,920,InterpreterEntryTrampoline
code-creation,Builtin,3,2102,0x139a880,77,InterpreterPushArgsThenCall
code-creation,Builtin,3,2108,0x139a8e0,83,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,2114,0x139a940,80,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,2122,0x139a9a0,77,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,2129,0x139aa00,77,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,2135,0x139aa60,80,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,2141,0x139aac0,216,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,2146,0x139aba0,81,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,2152,0x139ac00,51,InterpreterOnStackReplacement
code-creation,Builtin,3,2157,0x139ac40,1061,CompileLazy
code-creation,Builtin,3,2162,0x139b080,92,CompileLazyDeoptimizedCode
code-creation,Builtin,3,2168,0x139b0e0,245,InstantiateAsmJs
code-creation,Builtin,3,2173,0x139b1e0,32,NotifyDeoptimized
code-creation,Builtin,3,2178,0x139b220,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2185,0x139b260,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2192,0x139b2a0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2198,0x139b2e0,64,ContinueToJavaScriptBuiltinWithResult
