v8-version,8,4,371,19,-node.18,0
shared-library,/usr/bin/node,0x400000,0x424f000,0
shared-library,/usr/lib/x86_64-linux-gnu/libc-2.31.so,0x7ff87cce7000,0x7ff87ce84000,0
shared-library,/usr/lib/x86_64-linux-gnu/libpthread-2.31.so,0x7ff87cedb000,0x7ff87cef3000,0
shared-library,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7ff87cefe000,0x7ff87cf13000,0
shared-library,/usr/lib/x86_64-linux-gnu/libm-2.31.so,0x7ff87cf19000,0x7ff87cfcf000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28,0x7ff87d068000,0x7ff87d1ee000,0
shared-library,/usr/lib/x86_64-linux-gnu/libdl-2.31.so,0x7ff87d249000,0x7ff87d24c000,0
shared-library,/usr/lib/libkeepalive.so,0x7ff87d26c000,0x7ff87d26d000,0
shared-library,/usr/lib/x86_64-linux-gnu/ld-2.31.so,0x7ff87d470000,0x7ff87d494000,0
shared-library,[vdso],0x7ffeb8249000,0x7ffeb824b000,0
profiler,begin,1000
tick,0x7ff87ceee3f4,721,0,0x0,6
code-creation,Builtin,3,1863,0x1393ba0,1632,RecordWrite
code-creation,Builtin,3,1874,0x1394220,424,EphemeronKeyBarrier
code-creation,Builtin,3,1878,0x13943e0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,1881,0x1394420,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,1884,0x1394560,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1888,0x1394640,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1891,0x1394760,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,1894,0x13948a0,127,CallBoundFunction
code-creation,Builtin,3,1897,0x1394920,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1900,0x13949a0,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1933,0x1394a20,109,Call_ReceiverIsAny
code-creation,Builtin,3,1936,0x1394aa0,866,CallProxy
code-creation,Builtin,3,1939,0x1394e20,75,CallVarargs
code-creation,Builtin,3,1942,0x1394e80,1056,CallWithSpread
code-creation,Builtin,3,1945,0x13952c0,926,CallWithArrayLike
code-creation,Builtin,3,1949,0x1395660,100,CallForwardVarargs
code-creation,Builtin,3,1952,0x13956e0,100,CallFunctionForwardVarargs
code-creation,Builtin,3,1956,0x1395760,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,1959,0x1395800,245,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,1964,0x1395900,350,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,1968,0x1395a60,26,ConstructFunction
code-creation,Builtin,3,1973,0x1395a80,127,ConstructBoundFunction
code-creation,Builtin,3,1978,0x1395b00,28,ConstructedNonConstructable
code-creation,Builtin,3,1983,0x1395b20,90,Construct
code-creation,Builtin,3,1986,0x1395b80,75,ConstructVarargs
code-creation,Builtin,3,1991,0x1395be0,1084,ConstructWithSpread
code-creation,Builtin,3,1996,0x1396020,1000,ConstructWithArrayLike
code-creation,Builtin,3,2000,0x1396420,139,ConstructForwardVarargs
code-creation,Builtin,3,2005,0x13964c0,139,ConstructFunctionForwardVarargs
code-creation,Builtin,3,2011,0x1396560,328,JSConstructStubGeneric
code-creation,Builtin,3,2015,0x13966c0,241,JSBuiltinsConstructStub
code-creation,Builtin,3,2018,0x13967c0,735,FastNewObject
code-creation,Builtin,3,2022,0x1396aa0,305,FastNewClosure
code-creation,Builtin,3,2025,0x1396be0,209,FastNewFunctionContextEval
code-creation,Builtin,3,2030,0x1396cc0,209,FastNewFunctionContextFunction
code-creation,Builtin,3,2036,0x1396da0,238,CreateRegExpLiteral
code-creation,Builtin,3,2039,0x1396ea0,554,CreateEmptyArrayLiteral
code-creation,Builtin,3,2043,0x13970e0,1140,CreateShallowArrayLiteral
code-creation,Builtin,3,2047,0x1397560,1856,CreateShallowObjectLiteral
code-creation,Builtin,3,2053,0x1397cc0,854,ConstructProxy
code-creation,Builtin,3,2058,0x1398020,188,JSEntry
code-creation,Builtin,3,2062,0x13980e0,188,JSConstructEntry
code-creation,Builtin,3,2065,0x13981a0,188,JSRunMicrotasksEntry
code-creation,Builtin,3,2071,0x1398260,95,JSEntryTrampoline
code-creation,Builtin,3,2095,0x13982c0,95,JSConstructEntryTrampoline
code-creation,Builtin,3,2100,0x1398320,307,ResumeGeneratorTrampoline
code-creation,Builtin,3,2105,0x1398460,1112,StringCodePointAt
code-creation,Builtin,3,2109,0x13988c0,1615,StringFromCodePointAt
code-creation,Builtin,3,2115,0x1398f20,552,StringEqual
code-creation,Builtin,3,2128,0x1399160,284,StringGreaterThan
code-creation,Builtin,3,2134,0x1399280,284,StringGreaterThanOrEqual
code-creation,Builtin,3,2140,0x13993a0,1077,StringIndexOf
code-creation,Builtin,3,2146,0x13997e0,284,StringLessThan
code-creation,Builtin,3,2152,0x1399900,284,StringLessThanOrEqual
code-creation,Builtin,3,2158,0x1399a20,2627,StringSubstring
code-creation,Builtin,3,2195,0x139a480,92,OrderedHashTableHealIndex
code-creation,Builtin,3,2203,0x139a4e0,920,InterpreterEntryTrampoline
code-creation,Builtin,3,2210,0x139a880,77,InterpreterPushArgsThenCall
code-creation,Builtin,3,2217,0x139a8e0,83,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,2224,0x139a940,80,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,2231,0x139a9a0,77,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,2237,0x139aa00,77,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,2244,0x139aa60,80,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,2267,0x139aac0,216,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,2274,0x139aba0,81,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,2280,0x139ac00,51,InterpreterOnStackReplacement
code-creation,Builtin,3,2286,0x139ac40,1061,CompileLazy
code-creation,Builtin,3,2292,0x139b080,92,CompileLazyDeoptimizedCode
code-creation,Builtin,3,2298,0x139b0e0,245,InstantiateAsmJs
code-creation,Builtin,3,2305,0x139b1e0,32,NotifyDeoptimized
code-creation,Builtin,3,2312,0x139b220,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2318,0x139b260,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2324,0x139b2a0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2330,0x139b2e0,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2336,0x139b340,287,CallApiCallback
code-creation,Builtin,3,2342,0x139b460,269,CallApiGetter
code-creation,Builtin,3,2348,0x139b580,12,HandleApiCall
code-creation,Builtin,3,2354,0x139b5a0,12,HandleApiCallAsFunction
code-creation,Builtin,3,2361,0x139b5c0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,2368,0x139b5e0,72,AllocateInYoungGeneration
code-creation,Builtin,3,2375,0x139b640,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,2382,0x139b680,72,AllocateInOldGeneration
code-creation,Builtin,3,2389,0x139b6e0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,2397,0x139b720,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2404,0x139b920,563,GrowFastDoubleElements
code-creation,Builtin,3,2412,0x139bb60,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2419,0x139bd20,353,NewArgumentsElements
code-creation,Builtin,3,2427,0x139bea0,500,DebugBreakTrampoline
code-creation,Builtin,3,2434,0x139c0a0,141,FrameDropperTrampoline
code-creation,Builtin,3,2441,0x139c140,45,HandleDebuggerStatement
code-creation,Builtin,3,2449,0x139c180,254,ToObject
code-creation,Builtin,3,2455,0x139c280,100,ToBoolean
code-creation,Builtin,3,2462,0x139c300,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2470,0x139c420,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,2477,0x139c540,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,2485,0x139c620,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,2492,0x139c700,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,2500,0x139c7e0,85,StringToNumber
code-creation,Builtin,3,2507,0x139c840,129,ToName
code-creation,Builtin,3,2514,0x139c8e0,235,NonNumberToNumber
code-creation,Builtin,3,2521,0x139c9e0,255,NonNumberToNumeric
code-creation,Builtin,3,2528,0x139cae0,239,ToNumber
code-creation,Builtin,3,2535,0x139cbe0,272,ToNumberConvertBigInt
code-creation,Builtin,3,2542,0x139cd00,275,ToNumeric
code-creation,Builtin,3,2549,0x139ce20,261,NumberToString
code-creation,Builtin,3,2556,0x139cf40,382,ToLength
code-creation,Builtin,3,2563,0x139d0c0,140,Typeof
code-creation,Builtin,3,2570,0x139d160,69,GetSuperConstructor
code-creation,Builtin,3,2578,0x139d1c0,125,BigIntToI64
code-creation,Builtin,3,2585,0x139d240,12,BigIntToI32Pair
code-creation,Builtin,3,2592,0x139d260,309,I64ToBigInt
code-creation,Builtin,3,2601,0x139d3a0,12,I32PairToBigInt
code-creation,Builtin,3,2608,0x139d3c0,108,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,2616,0x139d440,3433,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,2623,0x139e1c0,15988,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,2631,0x13a2040,245,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,2638,0x13a2140,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,2646,0x13a21a0,20,LoadIC_StringLength
code-creation,Builtin,3,2653,0x13a21c0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,2660,0x13a21e0,3064,LoadIC_NoFeedback
code-creation,Builtin,3,2667,0x13a2de0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,2675,0x13a2e20,6952,StoreIC_NoFeedback
code-creation,Builtin,3,2682,0x13a4960,188,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,2689,0x13a4a20,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,2697,0x13a4a80,340,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,2704,0x13a4be0,340,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2713,0x13a4d40,340,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,2721,0x13a4ea0,340,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,2728,0x13a5000,6836,StoreFastElementIC_Standard
code-creation,Builtin,3,2736,0x13a6ac0,10700,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2744,0x13a94a0,6832,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,2751,0x13aaf60,6500,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,2759,0x13ac8e0,9396,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,2767,0x13aeda0,21824,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2775,0x13b4300,9396,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,2783,0x13b67c0,12372,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,2791,0x13b9820,760,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,2798,0x13b9b20,176,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,2805,0x13b9be0,80,HasIndexedInterceptorIC
code-creation,Builtin,3,2813,0x13b9c40,156,EnqueueMicrotask
code-creation,Builtin,3,2820,0x13b9ce0,8,RunMicrotasksTrampoline
code-creation,Builtin,3,2827,0x13b9d00,2472,RunMicrotasks
code-creation,Builtin,3,2834,0x13ba6c0,2338,HasProperty
code-creation,Builtin,3,2841,0x13bb000,1108,DeleteProperty
code-creation,Builtin,3,2849,0x13bb460,1847,CopyDataProperties
code-creation,Builtin,3,2856,0x13bbba0,8794,SetDataProperties
code-creation,Builtin,3,2863,0x13bde00,36,Abort
code-creation,Builtin,3,2870,0x13bde40,36,AbortCSAAssert
code-creation,Builtin,3,2877,0x13bde80,12,EmptyFunction
code-creation,Builtin,3,2884,0x13bdea0,12,Illegal
code-creation,Builtin,3,2891,0x13bdec0,12,StrictPoisonPillThrower
code-creation,Builtin,3,2899,0x13bdee0,12,UnsupportedThrower
code-creation,Builtin,3,2906,0x13bdf00,65,ReturnReceiver
code-creation,Builtin,3,2913,0x13bdf60,36,ArrayConstructor
code-creation,Builtin,3,2921,0x13bdfa0,413,ArrayConstructorImpl
code-creation,Builtin,3,2928,0x13be140,221,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2936,0x13be220,221,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2944,0x13be300,181,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
