v8-version,8,4,371,19,-node.18,0
shared-library,/usr/bin/node,0x400000,0x424f000,0
shared-library,/usr/lib/x86_64-linux-gnu/libc-2.31.so,0x7f64fd5a9000,0x7f64fd746000,0
shared-library,/usr/lib/x86_64-linux-gnu/libpthread-2.31.so,0x7f64fd79d000,0x7f64fd7b5000,0
shared-library,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f64fd7c0000,0x7f64fd7d5000,0
shared-library,/usr/lib/x86_64-linux-gnu/libm-2.31.so,0x7f64fd7db000,0x7f64fd891000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28,0x7f64fd92a000,0x7f64fdab0000,0
shared-library,/usr/lib/x86_64-linux-gnu/libdl-2.31.so,0x7f64fdb0b000,0x7f64fdb0e000,0
shared-library,/usr/lib/libkeepalive.so,0x7f64fdb2e000,0x7f64fdb2f000,0
shared-library,/usr/lib/x86_64-linux-gnu/ld-2.31.so,0x7f64fdd32000,0x7f64fdd56000,0
shared-library,[vdso],0x7ffe57875000,0x7ffe57877000,0
profiler,begin,1000
tick,0x7f64fd7b03f4,679,0,0x0,6
tick,0xf347ae,1703,0,0x0,6
code-creation,Builtin,3,1781,0x1393ba0,1632,RecordWrite
code-creation,Builtin,3,1803,0x1394220,424,EphemeronKeyBarrier
code-creation,Builtin,3,1807,0x13943e0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,1809,0x1394420,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,1837,0x1394560,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1840,0x1394640,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1844,0x1394760,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,1847,0x13948a0,127,CallBoundFunction
code-creation,Builtin,3,1850,0x1394920,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1853,0x13949a0,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1859,0x1394a20,109,Call_ReceiverIsAny
code-creation,Builtin,3,1862,0x1394aa0,866,CallProxy
code-creation,Builtin,3,1866,0x1394e20,75,CallVarargs
code-creation,Builtin,3,1869,0x1394e80,1056,CallWithSpread
code-creation,Builtin,3,1895,0x13952c0,926,CallWithArrayLike
code-creation,Builtin,3,1899,0x1395660,100,CallForwardVarargs
code-creation,Builtin,3,1903,0x13956e0,100,CallFunctionForwardVarargs
code-creation,Builtin,3,1908,0x1395760,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,1914,0x1395800,245,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,1918,0x1395900,350,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,1926,0x1395a60,26,ConstructFunction
code-creation,Builtin,3,1930,0x1395a80,127,ConstructBoundFunction
